<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,D,20100717,000000,0.04951,0.04951,0.04951,0.04951,0,0
BTC.V,D,20100718,000000,0.04951,0.08585,0.04951,0.08584,0,0
BTC.V,D,20100719,000000,0.08584,0.09307,0.07723,0.0808,0,0
BTC.V,D,20100720,000000,0.0808,0.08181,0.07426,0.07474,0,0
BTC.V,D,20100721,000000,0.07474,0.07921,0.06634,0.07921,0,0
BTC.V,D,20100722,000000,0.07921,0.08181,0.0505,0.0505,0,0
BTC.V,D,20100723,000000,0.0505,0.06767,0.0505,0.06262,0,0
BTC.V,D,20100724,000000,0.06262,0.06262,0.05049,0.05454,0,0
BTC.V,D,20100725,000000,0.05454,0.05941,0.0505,0.0505,0,0
BTC.V,D,20100726,000000,0.0505,0.056,0.05,0.056,0,0
BTC.V,D,20100727,000000,0.056,0.0605,0.053,0.06,0,0
BTC.V,D,20100728,000000,0.06,0.062,0.054,0.0589,0,0
BTC.V,D,20100729,000000,0.0589,0.0699,0.0571,0.0699,0,0
BTC.V,D,20100730,000000,0.0699,0.0699,0.0582,0.0627,0,0
BTC.V,D,20100731,000000,0.0627,0.06889,0.056,0.06785,0,0
BTC.V,D,20100801,000000,0.06785,0.06785,0.06,0.0611,0,0
BTC.V,D,20100802,000000,0.0611,0.0633,0.06,0.06,0,0
BTC.V,D,20100803,000000,0.06,0.065,0.059,0.06,0,0
BTC.V,D,20100804,000000,0.06,0.06231,0.057,0.057,0,0
BTC.V,D,20100805,000000,0.057,0.061,0.057,0.061,0,0
BTC.V,D,20100806,000000,0.061,0.0624,0.0607,0.0623,0,0
BTC.V,D,20100807,000000,0.0623,0.0623,0.059,0.059,0,0
BTC.V,D,20100808,000000,0.059,0.061,0.059,0.0609,0,0
BTC.V,D,20100809,000000,0.0609,0.0735,0.0593,0.071,0,0
BTC.V,D,20100810,000000,0.071,0.071,0.06651,0.07,0,0
BTC.V,D,20100811,000000,0.07,0.07541,0.06,0.067,0,0
BTC.V,D,20100812,000000,0.067,0.07,0.06141,0.07,0,0
BTC.V,D,20100813,000000,0.07,0.07,0.0645,0.0645,0,0
BTC.V,D,20100814,000000,0.0645,0.0695,0.0645,0.067,0,0
BTC.V,D,20100815,000000,0.067,0.067,0.065,0.06529,0,0
BTC.V,D,20100816,000000,0.06529,0.0679,0.062,0.0655,0,0
BTC.V,D,20100817,000000,0.0655,0.0769,0.06243,0.07,0,0
BTC.V,D,20100818,000000,0.07,0.0733,0.067,0.068,0,0
BTC.V,D,20100819,000000,0.068,0.068,0.0667,0.0667,0,0
BTC.V,D,20100820,000000,0.0667,0.0667,0.065,0.0655,0,0
BTC.V,D,20100821,000000,0.0655,0.0669,0.0644,0.0664,0,0
BTC.V,D,20100822,000000,0.0664,0.0664,0.0612,0.066,0,0
BTC.V,D,20100823,000000,0.066,0.06689,0.063,0.06491,0,0
BTC.V,D,20100824,000000,0.06491,0.0665,0.06491,0.065,0,0
BTC.V,D,20100825,000000,0.065,0.0665,0.0641,0.0648,0,0
BTC.V,D,20100826,000000,0.0648,0.0658,0.064,0.064,0,0
BTC.V,D,20100827,000000,0.064,0.065,0.063,0.065,0,0
BTC.V,D,20100828,000000,0.065,0.065,0.0641,0.0641,0,0
BTC.V,D,20100829,000000,0.0641,0.0648,0.064,0.064,0,0
BTC.V,D,20100830,000000,0.064,0.069,0.03211,0.06497,0,0
BTC.V,D,20100831,000000,0.06497,0.06497,0.06,0.06,0,0
BTC.V,D,20100901,000000,0.06,0.0629,0.05961,0.0629,0,0
BTC.V,D,20100902,000000,0.0629,0.0634,0.0601,0.0634,0,0
BTC.V,D,20100903,000000,0.0634,0.0634,0.06085,0.06085,0,0
BTC.V,D,20100904,000000,0.06085,0.06238,0.06085,0.06238,0,0
BTC.V,D,20100905,000000,0.06238,0.064,0.0605,0.0616,0,0
BTC.V,D,20100906,000000,0.0616,0.0627,0.0616,0.0616,0,0
BTC.V,D,20100907,000000,0.0616,0.06201,0.0603,0.061,0,0
BTC.V,D,20100908,000000,0.061,0.062,0.06099,0.062,0,0
BTC.V,D,20100909,000000,0.062,0.0624,0.06109,0.06111,0,0
BTC.V,D,20100910,000000,0.06111,0.0618,0.06014,0.0618,0,0
BTC.V,D,20100911,000000,0.0618,0.065,0.0618,0.06366,0,0
BTC.V,D,20100912,000000,0.06366,0.06366,0.0615,0.0615,0,0
BTC.V,D,20100913,000000,0.0615,0.064,0.0607,0.06219,0,0
BTC.V,D,20100914,000000,0.06219,0.175,0.061,0.06199,0,0
BTC.V,D,20100915,000000,0.06199,0.0625,0.0604,0.0604,0,0
BTC.V,D,20100916,000000,0.0604,0.0619,0.0604,0.0619,0,0
BTC.V,D,20100917,000000,0.0619,0.0619,0.059,0.059,0,0
BTC.V,D,20100918,000000,0.059,0.061,0.05761,0.061,0,0
BTC.V,D,20100919,000000,0.061,0.0627,0.06,0.0627,0,0
BTC.V,D,20100920,000000,0.0627,0.0634,0.062,0.0621,0,0
BTC.V,D,20100921,000000,0.0621,0.0633,0.0621,0.06265,0,0
BTC.V,D,20100922,000000,0.06265,0.06265,0.06147,0.0622,0,0
BTC.V,D,20100923,000000,0.0622,0.063,0.0615,0.06231,0,0
BTC.V,D,20100924,000000,0.06231,0.0624,0.06209,0.0622,0,0
BTC.V,D,20100925,000000,0.0622,0.0624,0.0617,0.06202,0,0
BTC.V,D,20100926,000000,0.06202,0.06228,0.06186,0.062,0,0
BTC.V,D,20100927,000000,0.062,0.06228,0.0619,0.0622,0,0
BTC.V,D,20100928,000000,0.0622,0.06271,0.0617,0.0619,0,0
BTC.V,D,20100929,000000,0.0619,0.062,0.0615,0.06191,0,0
BTC.V,D,20100930,000000,0.06191,0.06191,0.06155,0.0619,0,0
BTC.V,D,20101001,000000,0.0619,0.062,0.06189,0.06197,0,0
BTC.V,D,20101002,000000,0.06197,0.06197,0.06125,0.0614,0,0
BTC.V,D,20101003,000000,0.0614,0.0614,0.061,0.06111,0,0
BTC.V,D,20101004,000000,0.06111,0.062,0.06081,0.0613,0,0
BTC.V,D,20101005,000000,0.0613,0.06301,0.0609,0.0614,0,0
BTC.V,D,20101006,000000,0.0614,0.0635,0.0612,0.06281,0,0
BTC.V,D,20101007,000000,0.06281,0.067,0.0628,0.067,0,0
BTC.V,D,20101008,000000,0.067,0.088,0.01,0.08685,0,0
BTC.V,D,20101009,000000,0.08685,0.12,0.068,0.0938,0,0
BTC.V,D,20101010,000000,0.0938,0.1301,0.07999,0.0965,0,0
BTC.V,D,20101011,000000,0.0965,0.103,0.091,0.095,0,0
BTC.V,D,20101012,000000,0.095,0.099,0.082,0.0949,0,0
BTC.V,D,20101013,000000,0.0949,0.105,0.092,0.105,0,0
BTC.V,D,20101014,000000,0.105,0.105,0.065,0.102,0,0
BTC.V,D,20101015,000000,0.102,0.119,0.092,0.105,0,0
BTC.V,D,20101016,000000,0.105,0.105,0.1,0.101,0,0
BTC.V,D,20101017,000000,0.101,0.1045,0.1,0.102,0,0
BTC.V,D,20101018,000000,0.102,0.103,0.097,0.1024,0,0
BTC.V,D,20101019,000000,0.1024,0.1024,0.097,0.097,0,0
BTC.V,D,20101020,000000,0.097,0.103,0.094,0.099,0,0
BTC.V,D,20101021,000000,0.099,0.109,0.097,0.107,0,0
BTC.V,D,20101022,000000,0.107,0.109,0.1015,0.1025,0,0
BTC.V,D,20101023,000000,0.1025,0.109,0.1025,0.1055,0,0
BTC.V,D,20101024,000000,0.1055,0.19,0.1055,0.115,0,0
BTC.V,D,20101025,000000,0.115,0.19,0.09009,0.132,0,0
BTC.V,D,20101026,000000,0.132,0.18,0.132,0.1503,0,0
BTC.V,D,20101027,000000,0.1503,0.19,0.1503,0.1877,0,0
BTC.V,D,20101028,000000,0.1877,0.191,0.1731,0.1731,0,0
BTC.V,D,20101029,000000,0.1731,0.19,0.173,0.19,0,0
BTC.V,D,20101030,000000,0.19,0.199,0.1875,0.1989,0,0
BTC.V,D,20101031,000000,0.1989,0.1989,0.171,0.1925,0,0
BTC.V,D,20101101,000000,0.1925,0.1955,0.172,0.1955,0,0
BTC.V,D,20101102,000000,0.1955,0.1955,0.1905,0.1938,0,0
BTC.V,D,20101103,000000,0.1938,0.275,0.125,0.1931,0,0
BTC.V,D,20101104,000000,0.1931,0.236,0.1931,0.23,0,0
BTC.V,D,20101105,000000,0.23,0.2639,0.2101,0.26,0,0
BTC.V,D,20101106,000000,0.26,0.5,0.2402,0.39,0,0
BTC.V,D,20101107,000000,0.39,0.47,0.286,0.34,0,0
BTC.V,D,20101108,000000,0.34,0.37,0.2261,0.243,0,0
BTC.V,D,20101109,000000,0.243,0.323,0.199,0.21,0,0
BTC.V,D,20101110,000000,0.21,0.24,0.14,0.24,0,0
BTC.V,D,20101111,000000,0.24,0.24,0.21,0.2231,0,0
BTC.V,D,20101112,000000,0.2231,0.29,0.223,0.2682,0,0
BTC.V,D,20101113,000000,0.2682,0.3,0.2682,0.276,0,0
BTC.V,D,20101114,000000,0.276,0.299,0.2702,0.279,0,0
BTC.V,D,20101115,000000,0.279,0.2828,0.2682,0.2682,0,0
BTC.V,D,20101116,000000,0.2682,0.275,0.223,0.223,0,0
BTC.V,D,20101117,000000,0.223,0.29,0.2116,0.2299,0,0
BTC.V,D,20101118,000000,0.2299,0.283,0.2221,0.2678,0,0
BTC.V,D,20101119,000000,0.2678,0.28,0.2678,0.28,0,0
BTC.V,D,20101120,000000,0.28,0.29,0.2682,0.283,0,0
BTC.V,D,20101121,000000,0.283,0.283,0.2763,0.2767,0,0
BTC.V,D,20101122,000000,0.2767,0.2879,0.269,0.2879,0,0
BTC.V,D,20101123,000000,0.2879,0.2879,0.276,0.2829,0,0
BTC.V,D,20101124,000000,0.2829,0.283,0.2761,0.283,0,0
BTC.V,D,20101125,000000,0.283,0.283,0.278,0.28,0,0
BTC.V,D,20101126,000000,0.28,0.289,0.2761,0.2844,0,0
BTC.V,D,20101127,000000,0.2844,0.2844,0.2826,0.283,0,0
BTC.V,D,20101128,000000,0.283,0.2846,0.27,0.27,0,0
BTC.V,D,20101129,000000,0.27,0.279,0.2151,0.2299,0,0
BTC.V,D,20101130,000000,0.2299,0.2299,0.204,0.2082,0,0
BTC.V,D,20101201,000000,0.2082,0.2299,0.2082,0.2275,0,0
BTC.V,D,20101202,000000,0.2275,0.2553,0.218,0.255,0,0
BTC.V,D,20101203,000000,0.255,0.2552,0.243,0.251,0,0
BTC.V,D,20101204,000000,0.251,0.2589,0.205,0.205,0,0
BTC.V,D,20101205,000000,0.205,0.235,0.19,0.19,0,0
BTC.V,D,20101206,000000,0.19,0.225,0.1841,0.204,0,0
BTC.V,D,20101207,000000,0.204,0.2477,0.1701,0.233,0,0
BTC.V,D,20101208,000000,0.233,0.24,0.22,0.2388,0,0
BTC.V,D,20101209,000000,0.2388,0.2388,0.1701,0.2,0,0
BTC.V,D,20101210,000000,0.2,0.204,0.1825,0.204,0,0
BTC.V,D,20101211,000000,0.204,0.228,0.1907,0.228,0,0
BTC.V,D,20101212,000000,0.228,0.228,0.2068,0.22,0,0
BTC.V,D,20101213,000000,0.22,0.23,0.21,0.2299,0,0
BTC.V,D,20101214,000000,0.2299,0.2468,0.21,0.2467,0,0
BTC.V,D,20101215,000000,0.2467,0.2467,0.238,0.238,0,0
BTC.V,D,20101216,000000,0.238,0.255,0.2222,0.25,0,0
BTC.V,D,20101217,000000,0.25,0.25,0.24,0.24,0,0
BTC.V,D,20101218,000000,0.24,0.2488,0.24,0.241,0,0
BTC.V,D,20101219,000000,0.241,0.2499,0.24,0.2401,0,0
BTC.V,D,20101220,000000,0.2401,0.275,0.24,0.267,0,0
BTC.V,D,20101221,000000,0.267,0.267,0.24,0.24,0,0
BTC.V,D,20101222,000000,0.24,0.25,0.24,0.25,0,0
BTC.V,D,20101223,000000,0.25,0.25,0.241,0.25,0,0
